t,value
0,10.000
1,10.184
2,10.356
3,10.376
4,10.304
5,10.340
6,10.624
7,10.856
8,11.076
9,11.144
10,11.120
11,11.204
12,11.536
13,11.816
14,12.084
15,12.200
16,12.224
17,12.356
18,12.736
19,13.064
20,13.380
21,13.544
22,13.616
23,13.796
24,14.224
25,14.600
26,14.964
27,15.176
28,15.296
29,15.524
30,16.000
31,16.424
32,16.836
33,17.096
34,17.264
35,17.540
36,18.064
37,18.536
38,18.996
39,19.304
40,19.520
41,19.844
42,20.416
43,20.936
44,21.444
45,21.800
46,22.064
47,22.436
48,23.056
49,23.624
50,24.180
51,24.584
52,24.896
53,25.316
54,25.984
55,26.600
56,27.204
57,27.656
58,28.016
59,28.484
